x,y,z,UMeanMag(m/s)
-0.30,-0.25,0.02,2.46829714127963
-0.30,-0.20,0.02,1.67021368020625
-0.30,-0.15,0.02,1.65837265149487
-0.30,0.15,0.02,2.69292022000266
-0.30,0.20,0.02,2.29828731577
-0.30,0.25,0.02,1.72590491181378
-0.25,-0.30,0.02,3.3202219758435
-0.25,-0.25,0.02,2.33303928140668
-0.25,-0.20,0.02,1.92617154861191
-0.25,-0.15,0.02,2.02106924435496
-0.25,-0.10,0.02,1.93272628926851
-0.25,-0.05,0.02,1.46510641766064
-0.25,0.00,0.02,1.40585137756944
-0.25,0.05,0.02,1.27206777554505
-0.25,0.10,0.02,2.12440767696232
-0.25,0.15,0.02,2.50925932707707
-0.25,0.20,0.02,1.92389323212358
-0.25,0.25,0.02,1.53445859207121
-0.25,0.30,0.02,1.09484985165529
-0.20,-0.30,0.02,2.8767667233259
-0.20,-0.25,0.02,2.44589930120948
-0.20,-0.20,0.02,2.51533997852435
-0.20,-0.15,0.02,2.62254923975364
-0.20,-0.10,0.02,2.31863171784589
-0.20,-0.05,0.02,2.02316283680607
-0.20,0.00,0.02,1.75582939233792
-0.20,0.05,0.02,1.61722069293127
-0.20,0.10,0.02,2.11006528717819
-0.20,0.15,0.02,2.16118335817894
-0.20,0.20,0.02,1.68917799959663
-0.20,0.25,0.02,1.37808699693463
-0.20,0.30,0.02,1.07410457928878
-0.15,-0.30,0.02,2.52265213050923
-0.15,-0.25,0.02,2.69246837905598
-0.15,-0.20,0.02,2.75084470948224
-0.15,-0.15,0.02,2.9800559616583
-0.15,-0.10,0.02,2.71057957253205
-0.15,-0.05,0.02,2.63916802663318
-0.15,0.00,0.02,2.31924172278674
-0.15,0.05,0.02,2.15719359913091
-0.15,0.10,0.02,1.74831778683032
-0.15,0.15,0.02,1.95099910661544
-0.15,0.20,0.02,1.8993741483119
-0.15,0.25,0.02,1.80622381298948
-0.15,0.30,0.02,1.79045706424468
-0.10,-0.25,0.02,2.54138737855283
-0.10,-0.20,0.02,2.93846269679129
-0.10,-0.15,0.02,3.63325271421712
-0.10,0.15,0.02,2.04231202237418
-0.10,0.20,0.02,2.4097414806779
-0.10,0.25,0.02,2.85327629768865
-0.05,-0.25,0.02,2.70720877236409
-0.05,-0.20,0.02,3.21028178964218
-0.05,-0.15,0.02,3.35159809406555
-0.05,0.15,0.02,2.32001552663732
-0.05,0.20,0.02,2.29301965780343
-0.05,0.25,0.02,1.5043661870543
0.00,-0.25,0.02,2.9498062921365
0.00,-0.20,0.02,3.42362515182326
0.00,-0.15,0.02,2.99389945362633
0.00,0.15,0.02,2.35880091658669
0.00,0.20,0.02,1.97563025719324
0.00,0.25,0.02,1.2553991637657
0.05,-0.25,0.02,3.27309493616144
0.05,-0.20,0.02,3.33924944951861
0.05,-0.15,0.02,2.71868677625668
0.05,0.15,0.02,2.33938735300321
0.05,0.20,0.02,1.84356976291634
0.05,0.25,0.02,1.22403646208101
0.10,-0.25,0.02,3.08451917839655
0.10,-0.20,0.02,3.13891284875184
0.10,-0.15,0.02,2.8461200581748
0.10,0.15,0.02,2.26895461594739
0.10,0.20,0.02,1.6165664677384
0.10,0.25,0.02,1.2945386300814
0.15,-0.30,0.02,2.53828684151753
0.15,-0.25,0.02,2.92513228238745
0.15,-0.20,0.02,2.8207202898024
0.15,-0.15,0.02,2.45314305255974
0.15,-0.10,0.02,2.04956444147782
0.15,-0.05,0.02,1.70086057960038
0.15,0.00,0.02,1.38512674536924
0.15,0.05,0.02,0.922194014547489
0.15,0.10,0.02,2.9312108139487
0.15,0.15,0.02,2.07475418300947
0.15,0.20,0.02,1.60182820074837
0.15,0.25,0.02,1.15165771291043
0.15,0.30,0.02,1.24629604374852
0.20,-0.30,0.02,2.51065380925804
0.20,-0.25,0.02,2.66186661807496
0.20,-0.20,0.02,2.38816346169711
0.20,-0.15,0.02,1.92283277347627
0.20,-0.10,0.02,1.56298593113556
0.20,-0.05,0.02,1.82140075737563
0.20,0.00,0.02,1.54576324013866
0.20,0.05,0.02,1.93487276199389
0.20,0.10,0.02,2.45812875513233
0.20,0.15,0.02,1.94408644136645
0.20,0.20,0.02,1.58582265353726
0.20,0.25,0.02,1.42482254213282
0.20,0.30,0.02,1.26374879080243
0.25,-0.30,0.02,2.1617544993171
0.25,-0.25,0.02,2.42474768894694
0.25,-0.20,0.02,2.16194444414004
0.25,-0.15,0.02,1.75596170924256
0.25,-0.10,0.02,1.61681043880773
0.25,-0.05,0.02,1.89258092589323
0.25,0.00,0.02,2.1883468622108
0.25,0.05,0.02,2.21362879352484
0.25,0.10,0.02,1.79124124434919
0.25,0.15,0.02,1.80098334423616
0.25,0.20,0.02,1.76628348638025
0.25,0.25,0.02,1.79693315447884
0.25,0.30,0.02,1.65993626120608
0.30,-0.25,0.02,2.20647916496081
0.30,-0.20,0.02,2.28625249605066
0.30,-0.15,0.02,2.29272485400385
0.30,0.15,0.02,1.8632183694844
0.30,0.20,0.02,2.28944879793158
0.30,0.25,0.02,2.9347308641103
