x,y,z,UMeanMag(m/s)
-0.30,-0.25,0.02,2.08067993135544
-0.30,-0.20,0.02,1.25967912753165
-0.30,-0.15,0.02,1.54213205162496
-0.30,0.15,0.02,2.47994909908353
-0.30,0.20,0.02,1.42414148117142
-0.30,0.25,0.02,1.25452388154769
-0.25,-0.30,0.02,3.20338500391438
-0.25,-0.25,0.02,1.96924135127105
-0.25,-0.20,0.02,1.39118055519388
-0.25,-0.15,0.02,1.55092019992231
-0.25,-0.10,0.02,1.523300889347
-0.25,-0.05,0.02,1.20135828754699
-0.25,0.00,0.02,1.18640387011144
-0.25,0.05,0.02,1.09232440473248
-0.25,0.10,0.02,3.14234876473447
-0.25,0.15,0.02,1.89467063954736
-0.25,0.20,0.02,1.40283022418619
-0.25,0.25,0.02,1.39274422269248
-0.25,0.30,0.02,1.1672774440516
-0.20,-0.30,0.02,2.55927757045185
-0.20,-0.25,0.02,1.98141708962769
-0.20,-0.20,0.02,1.79264659788278
-0.20,-0.15,0.02,1.9583297073735
-0.20,-0.10,0.02,2.19309446842255
-0.20,-0.05,0.02,2.26336402025347
-0.20,0.00,0.02,2.16326553538468
-0.20,0.05,0.02,2.34682207930752
-0.20,0.10,0.02,2.41638248568786
-0.20,0.15,0.02,1.64967205684794
-0.20,0.20,0.02,1.31622125767634
-0.20,0.25,0.02,1.39950037522567
-0.20,0.30,0.02,1.3658978009664
-0.15,-0.30,0.02,2.23090299197713
-0.15,-0.25,0.02,2.05825033326801
-0.15,-0.20,0.02,2.19292709958697
-0.15,-0.15,0.02,2.56086269376108
-0.15,-0.10,0.02,2.79536839293363
-0.15,-0.05,0.02,3.02567866443691
-0.15,0.00,0.02,2.80840912213037
-0.15,0.05,0.02,2.52319797254707
-0.15,0.10,0.02,1.80451755061988
-0.15,0.15,0.02,1.64162533746153
-0.15,0.20,0.02,1.76319394452202
-0.15,0.25,0.02,2.1988868896642
-0.15,0.30,0.02,2.71230324706069
-0.10,-0.25,0.02,1.975022987647
-0.10,-0.20,0.02,2.65969169879648
-0.10,-0.15,0.02,3.47604289272418
-0.10,0.15,0.02,2.0186399177971
-0.10,0.20,0.02,2.66577422802052
-0.10,0.25,0.02,3.38481871490022
-0.05,-0.25,0.02,2.54939604048375
-0.05,-0.20,0.02,3.18238575138758
-0.05,-0.15,0.02,1.55369059026965
-0.05,0.15,0.02,2.53947067731006
-0.05,0.20,0.02,2.21677377910081
-0.05,0.25,0.02,1.06970476396351
0.00,-0.25,0.02,3.30299314080651
0.00,-0.20,0.02,3.21591550579351
0.00,-0.15,0.02,1.33352301322886
0.00,0.15,0.02,2.99441824697001
0.00,0.20,0.02,2.13616991880724
0.00,0.25,0.02,1.26581291520974
0.05,-0.25,0.02,3.71387245321575
0.05,-0.20,0.02,2.93674106764005
0.05,-0.15,0.02,1.54481488368113
0.05,0.15,0.02,3.07441194459888
0.05,0.20,0.02,2.27364182984494
0.05,0.25,0.02,1.41016354468009
0.10,-0.25,0.02,3.0013353880092
0.10,-0.20,0.02,2.41593019737993
0.10,-0.15,0.02,2.06392834158221
0.10,0.15,0.02,3.06927724645663
0.10,0.20,0.02,2.18916162472085
0.10,0.25,0.02,1.73653320814297
0.15,-0.30,0.02,2.78781049332296
0.15,-0.25,0.02,2.44107726103265
0.15,-0.20,0.02,1.87459604506899
0.15,-0.15,0.02,1.78440147569988
0.15,-0.10,0.02,1.9956304851614
0.15,-0.05,0.02,1.59161710012548
0.15,0.00,0.02,1.34369571566233
0.15,0.05,0.02,1.5805979309786
0.15,0.10,0.02,3.4197559908937
0.15,0.15,0.02,2.76683145918847
0.15,0.20,0.02,2.12659753273648
0.15,0.25,0.02,1.75361515328918
0.15,0.30,0.02,1.84040723256704
0.20,-0.30,0.02,2.80910626655398
0.20,-0.25,0.02,2.15042175741088
0.20,-0.20,0.02,1.60905484510272
0.20,-0.15,0.02,1.96170777674266
0.20,-0.10,0.02,2.62853501631388
0.20,-0.05,0.02,3.17652931521639
0.20,0.00,0.02,3.27083976218002
0.20,0.05,0.02,3.26101995702822
0.20,0.10,0.02,2.68989771897355
0.20,0.15,0.02,2.43553225705305
0.20,0.20,0.02,2.06563865623114
0.20,0.25,0.02,1.70075293829221
0.20,0.30,0.02,1.46316424071901
0.25,-0.30,0.02,2.45318370042055
0.25,-0.25,0.02,2.30168300922573
0.25,-0.20,0.02,2.19920092362194
0.25,-0.15,0.02,2.61657245032815
0.25,-0.10,0.02,3.14062668793734
0.25,-0.05,0.02,3.50462533636604
0.25,0.00,0.02,3.26956486519458
0.25,0.05,0.02,2.62198302799478
0.25,0.10,0.02,1.99574525580596
0.25,0.15,0.02,2.29117700195766
0.25,0.20,0.02,2.13392187890038
0.25,0.25,0.02,1.90007367788944
0.25,0.30,0.02,2.07920109267332
0.30,-0.25,0.02,2.56190038149363
0.30,-0.20,0.02,2.91358253616163
0.30,-0.15,0.02,3.09367721387059
0.30,0.15,0.02,2.51075976959441
0.30,0.20,0.02,2.74582715494856
0.30,0.25,0.02,3.34831027851429
