x,y,z,UMeanMag(m/s)
-0.30,-0.25,0.02,2.63615649809986
-0.30,-0.20,0.02,2.32410379251352
-0.30,-0.15,0.02,1.74658189272308
-0.30,0.15,0.02,1.74260994445532
-0.30,0.20,0.02,2.19860318684029
-0.30,0.25,0.02,2.52590966760379
-0.25,-0.30,0.02,2.37376528146393
-0.25,-0.25,0.02,2.57793701847218
-0.25,-0.20,0.02,2.15376921054361
-0.25,-0.15,0.02,1.89284742065288
-0.25,-0.10,0.02,2.16584802283891
-0.25,-0.05,0.02,2.25575721325914
-0.25,0.00,0.02,2.01616046704058
-0.25,0.05,0.02,2.2663594422078
-0.25,0.10,0.02,2.06454478418721
-0.25,0.15,0.02,1.79325792648132
-0.25,0.20,0.02,2.11079617830142
-0.25,0.25,0.02,2.51784533915873
-0.25,0.30,0.02,2.32752860800186
-0.20,-0.30,0.02,2.3084294076315
-0.20,-0.25,0.02,2.34766410119514
-0.20,-0.20,0.02,2.13610613830979
-0.20,-0.15,0.02,2.42363020471355
-0.20,-0.10,0.02,2.76449794910861
-0.20,-0.05,0.02,2.67983704762209
-0.20,0.00,0.02,2.37627455481832
-0.20,0.05,0.02,2.48846170209388
-0.20,0.10,0.02,2.64488151561759
-0.20,0.15,0.02,2.16676861348407
-0.20,0.20,0.02,2.04765964596924
-0.20,0.25,0.02,2.37754684411633
-0.20,0.30,0.02,2.43864215132957
-0.15,-0.30,0.02,1.81846717471168
-0.15,-0.25,0.02,1.87591516719454
-0.15,-0.20,0.02,1.84617123605273
-0.15,-0.15,0.02,2.33770439121588
-0.15,-0.10,0.02,2.81718731982378
-0.15,-0.05,0.02,2.29843116153004
-0.15,0.00,0.02,2.03625815474848
-0.15,0.05,0.02,2.31836568327409
-0.15,0.10,0.02,2.74433119213551
-0.15,0.15,0.02,2.29324582225098
-0.15,0.20,0.02,1.99808519783111
-0.15,0.25,0.02,1.94122140705343
-0.15,0.30,0.02,1.98743611067583
-0.10,-0.25,0.02,1.60989701204378
-0.10,-0.20,0.02,1.68956888632169
-0.10,-0.15,0.02,2.11841813447762
-0.10,0.15,0.02,2.23441329523306
-0.10,0.20,0.02,1.5796780780873
-0.10,0.25,0.02,1.48012415909095
-0.05,-0.25,0.02,1.57095724433942
-0.05,-0.20,0.02,1.67467212032417
-0.05,-0.15,0.02,1.70445987580085
-0.05,0.15,0.02,1.57448086531422
-0.05,0.20,0.02,1.39140935979252
-0.05,0.25,0.02,1.45345016293131
0.00,-0.25,0.02,1.32225615669641
0.00,-0.20,0.02,1.38474259959318
0.00,-0.15,0.02,1.55926695227993
0.00,0.15,0.02,1.58812642988369
0.00,0.20,0.02,1.32610792316025
0.00,0.25,0.02,1.29272743932222
0.05,-0.25,0.02,1.21928722191963
0.05,-0.20,0.02,1.38305200209782
0.05,-0.15,0.02,1.6236139485462
0.05,0.15,0.02,1.57733538355846
0.05,0.20,0.02,1.49224795682384
0.05,0.25,0.02,1.21910396356454
0.10,-0.25,0.02,1.19831873937674
0.10,-0.20,0.02,1.38664728893443
0.10,-0.15,0.02,1.68152635210882
0.10,0.15,0.02,1.55214160851419
0.10,0.20,0.02,1.31266619503266
0.10,0.25,0.02,1.24301570556395
0.15,-0.30,0.02,1.06717495706782
0.15,-0.25,0.02,1.25924986456162
0.15,-0.20,0.02,1.46656752507387
0.15,-0.15,0.02,1.68082174233184
0.15,-0.10,0.02,1.59050704719086
0.15,-0.05,0.02,1.05210483993519
0.15,0.00,0.02,1.30317832990636
0.15,0.05,0.02,0.988028925551808
0.15,0.10,0.02,1.68924597793405
0.15,0.15,0.02,1.59679679357184
0.15,0.20,0.02,1.44459212417297
0.15,0.25,0.02,1.1801064385935
0.15,0.30,0.02,1.07657002089339
0.20,-0.30,0.02,1.12995917788619
0.20,-0.25,0.02,1.24333368285512
0.20,-0.20,0.02,1.39219172939538
0.20,-0.15,0.02,1.70322402400691
0.20,-0.10,0.02,1.51578865370715
0.20,-0.05,0.02,1.43261734851129
0.20,0.00,0.02,1.33832974511839
0.20,0.05,0.02,1.18928595512137
0.20,0.10,0.02,1.57881370607569
0.20,0.15,0.02,1.6361010843292
0.20,0.20,0.02,1.42824839522069
0.20,0.25,0.02,1.49279877651243
0.20,0.30,0.02,1.29869914684091
0.25,-0.30,0.02,1.34296318305456
0.25,-0.25,0.02,1.48734595459977
0.25,-0.20,0.02,1.58019820833166
0.25,-0.15,0.02,1.54517057628194
0.25,-0.10,0.02,1.39581923890063
0.25,-0.05,0.02,1.1537821765222
0.25,0.00,0.02,1.16606496792011
0.25,0.05,0.02,1.10565859955592
0.25,0.10,0.02,1.22296769830229
0.25,0.15,0.02,1.51990915417134
0.25,0.20,0.02,1.48094831405847
0.25,0.25,0.02,1.55094627205329
0.25,0.30,0.02,1.53926717880816
0.30,-0.25,0.02,1.56706811614714
0.30,-0.20,0.02,1.55884853143231
0.30,-0.15,0.02,1.6055674255967
0.30,0.15,0.02,1.54533015091107
0.30,0.20,0.02,1.53453858154342
0.30,0.25,0.02,1.63912593842371
