x,y,z,UMeanMag(m/s)
-0.30,-0.25,0.02,3.19438433323551
-0.30,-0.20,0.02,1.53863614141116
-0.30,-0.15,0.02,1.05551671664512
-0.30,0.15,0.02,2.72512717495781
-0.30,0.20,0.02,1.53836697515567
-0.30,0.25,0.02,1.50538279293651
-0.25,-0.30,0.02,2.89984269834626
-0.25,-0.25,0.02,2.77905620669613
-0.25,-0.20,0.02,1.58705518715915
-0.25,-0.15,0.02,1.32755024975825
-0.25,-0.10,0.02,1.23901424859871
-0.25,-0.05,0.02,1.01047713092705
-0.25,0.00,0.02,1.02780307247888
-0.25,0.05,0.02,0.833446989783485
-0.25,0.10,0.02,3.32184529955309
-0.25,0.15,0.02,2.23456344971947
-0.25,0.20,0.02,1.46065633643662
-0.25,0.25,0.02,1.48363824270403
-0.25,0.30,0.02,1.23589560085665
-0.20,-0.30,0.02,3.01983735845718
-0.20,-0.25,0.02,2.14619337463348
-0.20,-0.20,0.02,1.53670736251345
-0.20,-0.15,0.02,1.48551098354878
-0.20,-0.10,0.02,1.51123985412673
-0.20,-0.05,0.02,1.34735834533523
-0.20,0.00,0.02,1.23223816099716
-0.20,0.05,0.02,1.77823481409795
-0.20,0.10,0.02,3.14604974366304
-0.20,0.15,0.02,2.05805830850901
-0.20,0.20,0.02,1.51878355858478
-0.20,0.25,0.02,1.50718176367667
-0.20,0.30,0.02,1.48659943156427
-0.15,-0.30,0.02,2.18410733499357
-0.15,-0.25,0.02,1.71461529981257
-0.15,-0.20,0.02,1.60049557347618
-0.15,-0.15,0.02,1.34215237993613
-0.15,-0.10,0.02,1.4490973651594
-0.15,-0.05,0.02,1.45258759667471
-0.15,0.00,0.02,1.83703868039985
-0.15,0.05,0.02,2.73109476952882
-0.15,0.10,0.02,2.98345314532029
-0.15,0.15,0.02,2.47157956437444
-0.15,0.20,0.02,2.16124586743524
-0.15,0.25,0.02,2.44975812920901
-0.15,0.30,0.02,2.85889167608089
-0.10,-0.25,0.02,1.53268556646874
-0.10,-0.20,0.02,1.36813248034048
-0.10,-0.15,0.02,1.0930544431821
-0.10,0.15,0.02,3.10533333730832
-0.10,0.20,0.02,3.16850273240272
-0.10,0.25,0.02,3.41259502784807
-0.05,-0.25,0.02,1.45927880913661
-0.05,-0.20,0.02,1.47496387629586
-0.05,-0.15,0.02,1.16925548116041
-0.05,0.15,0.02,2.39931500998365
-0.05,0.20,0.02,1.43212390812831
-0.05,0.25,0.02,0.789169936333608
0.00,-0.25,0.02,1.52167685443794
0.00,-0.20,0.02,1.37828144599471
0.00,-0.15,0.02,1.33640545889884
0.00,0.15,0.02,1.65738386393095
0.00,0.20,0.02,1.33636334257209
0.00,0.25,0.02,1.12123754706675
0.05,-0.25,0.02,1.85906771970369
0.05,-0.20,0.02,1.48634447168345
0.05,-0.15,0.02,1.46582512099866
0.05,0.15,0.02,1.50838785785067
0.05,0.20,0.02,1.55011463820973
0.05,0.25,0.02,1.22759975441024
0.10,-0.25,0.02,2.042034587033
0.10,-0.20,0.02,1.76065060001567
0.10,-0.15,0.02,1.62857397729799
0.10,0.15,0.02,1.43616990628495
0.10,0.20,0.02,1.46859366345743
0.10,0.25,0.02,1.34278446318535
0.15,-0.30,0.02,2.54501668727128
0.15,-0.25,0.02,2.09021247136166
0.15,-0.20,0.02,1.86371276437751
0.15,-0.15,0.02,1.66601839578983
0.15,-0.10,0.02,1.51318516067265
0.15,-0.05,0.02,1.46519598080346
0.15,0.00,0.02,1.38946862334255
0.15,0.05,0.02,1.24092220337215
0.15,0.10,0.02,1.33256810492381
0.15,0.15,0.02,1.48421205395965
0.15,0.20,0.02,1.56127457414149
0.15,0.25,0.02,1.32259230068795
0.15,0.30,0.02,1.14810509920462
0.20,-0.30,0.02,2.15360722748618
0.20,-0.25,0.02,1.9442718272794
0.20,-0.20,0.02,1.83744865235955
0.20,-0.15,0.02,1.82835686173908
0.20,-0.10,0.02,1.68989738774156
0.20,-0.05,0.02,1.71251165357992
0.20,0.00,0.02,1.397328949515
0.20,0.05,0.02,1.26815786673633
0.20,0.10,0.02,1.37199484605083
0.20,0.15,0.02,1.60503924234457
0.20,0.20,0.02,1.68442160803947
0.20,0.25,0.02,1.84919163884822
0.20,0.30,0.02,1.67640628993416
0.25,-0.30,0.02,1.65456212534502
0.25,-0.25,0.02,1.82199678448021
0.25,-0.20,0.02,1.94342356158091
0.25,-0.15,0.02,2.09187245120037
0.25,-0.10,0.02,2.06866550276875
0.25,-0.05,0.02,1.7943536771677
0.25,0.00,0.02,1.43522588810987
0.25,0.05,0.02,1.41427621833308
0.25,0.10,0.02,1.43699999660757
0.25,0.15,0.02,1.8074780124686
0.25,0.20,0.02,2.17781839611017
0.25,0.25,0.02,2.78804331501033
0.25,0.30,0.02,3.22263147835783
0.30,-0.25,0.02,1.73110350675401
0.30,-0.20,0.02,2.20736615628162
0.30,-0.15,0.02,2.69966111227777
0.30,0.15,0.02,2.25948713201697
0.30,0.20,0.02,3.27385777431661
0.30,0.25,0.02,3.58738958413724
