x,y,z,UMeanMag(m/s)
-0.30,-0.25,0.02,3.21481836245385
-0.30,-0.20,0.02,2.40671882099678
-0.30,-0.15,0.02,1.67403234302475
-0.30,0.15,0.02,2.96454321364613
-0.30,0.20,0.02,2.43881767058002
-0.30,0.25,0.02,1.81949580933571
-0.25,-0.30,0.02,2.65439308884397
-0.25,-0.25,0.02,2.81927246565114
-0.25,-0.20,0.02,1.88171836230818
-0.25,-0.15,0.02,1.52786323946341
-0.25,-0.10,0.02,1.19173398963173
-0.25,-0.05,0.02,0.880470223353981
-0.25,0.00,0.02,0.842243946666434
-0.25,0.05,0.02,0.738935314408944
-0.25,0.10,0.02,2.67660725237814
-0.25,0.15,0.02,2.4568707164689
-0.25,0.20,0.02,1.86513022662906
-0.25,0.25,0.02,1.44581299198932
-0.25,0.30,0.02,1.1559674070226
-0.20,-0.30,0.02,2.96654285353458
-0.20,-0.25,0.02,2.33488557128438
-0.20,-0.20,0.02,1.64346310999627
-0.20,-0.15,0.02,1.52053188282498
-0.20,-0.10,0.02,1.32336951587885
-0.20,-0.05,0.02,1.08265234936429
-0.20,0.00,0.02,0.929842926444365
-0.20,0.05,0.02,1.37160549896577
-0.20,0.10,0.02,2.60517513252923
-0.20,0.15,0.02,2.11892132227562
-0.20,0.20,0.02,1.63356259009181
-0.20,0.25,0.02,1.43820869977705
-0.20,0.30,0.02,1.27890172839506
-0.15,-0.30,0.02,2.46832316523849
-0.15,-0.25,0.02,2.10390386943877
-0.15,-0.20,0.02,1.91601263797815
-0.15,-0.15,0.02,1.83792276777883
-0.15,-0.10,0.02,1.92586463843967
-0.15,-0.05,0.02,2.24338547623423
-0.15,0.00,0.02,2.11670879579471
-0.15,0.05,0.02,2.23757816969518
-0.15,0.10,0.02,2.16496470801134
-0.15,0.15,0.02,2.07100845973577
-0.15,0.20,0.02,2.00447554315095
-0.15,0.25,0.02,2.05237396607638
-0.15,0.30,0.02,2.10930628028197
-0.10,-0.25,0.02,2.04855050622936
-0.10,-0.20,0.02,2.27436220075518
-0.10,-0.15,0.02,2.48131556986715
-0.10,0.15,0.02,2.28638150920328
-0.10,0.20,0.02,2.68407013389282
-0.10,0.25,0.02,3.20565943729808
-0.05,-0.25,0.02,2.10703999962164
-0.05,-0.20,0.02,1.94376699576869
-0.05,-0.15,0.02,0.994893303922977
-0.05,0.15,0.02,2.4585834778469
-0.05,0.20,0.02,2.18244012707598
-0.05,0.25,0.02,1.16477287350165
0.00,-0.25,0.02,1.99777010846678
0.00,-0.20,0.02,1.53490352614007
0.00,-0.15,0.02,1.04610655391889
0.00,0.15,0.02,2.38219423466636
0.00,0.20,0.02,1.68983200992464
0.00,0.25,0.02,1.04459701854116
0.05,-0.25,0.02,1.85842927311507
0.05,-0.20,0.02,1.24534796483836
0.05,-0.15,0.02,0.839691916986377
0.05,0.15,0.02,2.167959330388
0.05,0.20,0.02,1.54593119823879
0.05,0.25,0.02,0.97213945724846
0.10,-0.25,0.02,1.65857530216961
0.10,-0.20,0.02,1.19951125925926
0.10,-0.15,0.02,1.05049680191511
0.10,0.15,0.02,1.90742796832143
0.10,0.20,0.02,1.18223506797737
0.10,0.25,0.02,0.988048591505072
0.15,-0.30,0.02,2.27446051261794
0.15,-0.25,0.02,1.54323368753719
0.15,-0.20,0.02,1.27501993468291
0.15,-0.15,0.02,1.04179535083679
0.15,-0.10,0.02,0.890455279374524
0.15,-0.05,0.02,0.905460630883035
0.15,0.00,0.02,0.792622706115575
0.15,0.05,0.02,0.486298762022632
0.15,0.10,0.02,2.12179657431637
0.15,0.15,0.02,1.61456453684704
0.15,0.20,0.02,1.22784928223431
0.15,0.25,0.02,0.904022049331034
0.15,0.30,0.02,1.1307448397136
0.20,-0.30,0.02,1.85622157444299
0.20,-0.25,0.02,1.45762202382048
0.20,-0.20,0.02,1.36929601137467
0.20,-0.15,0.02,1.46394708347664
0.20,-0.10,0.02,1.22418725001805
0.20,-0.05,0.02,1.42008611929742
0.20,0.00,0.02,0.901231979426858
0.20,0.05,0.02,0.865540791698846
0.20,0.10,0.02,2.06205340372345
0.20,0.15,0.02,1.49747740046583
0.20,0.20,0.02,1.25179903660974
0.20,0.25,0.02,1.29896950994576
0.20,0.30,0.02,1.20024369162994
0.25,-0.30,0.02,1.36731803529958
0.25,-0.25,0.02,1.53753887713682
0.25,-0.20,0.02,1.63943788495793
0.25,-0.15,0.02,1.64068895509955
0.25,-0.10,0.02,1.64264487249779
0.25,-0.05,0.02,1.66027808522948
0.25,0.00,0.02,1.57752029799355
0.25,0.05,0.02,1.58555816232195
0.25,0.10,0.02,1.54545403643626
0.25,0.15,0.02,1.55178271964456
0.25,0.20,0.02,1.58887121585659
0.25,0.25,0.02,1.69857155726832
0.25,0.30,0.02,1.6345185356053
0.30,-0.25,0.02,1.48154103583577
0.30,-0.20,0.02,1.8041961797639
0.30,-0.15,0.02,2.04107825246496
0.30,0.15,0.02,1.81459223768233
0.30,0.20,0.02,2.44555777475393
0.30,0.25,0.02,3.19393481736068
