x,y,z,UMeanMag(m/s)
-0.30,-0.25,0.02,2.75198188174879
-0.30,-0.20,0.02,3.0799262545496
-0.30,-0.15,0.02,2.67516366216388
-0.30,0.15,0.02,2.66465674626405
-0.30,0.20,0.02,2.91005044157872
-0.30,0.25,0.02,2.5964289908818
-0.25,-0.30,0.02,1.07735634130587
-0.25,-0.25,0.02,2.55928526916817
-0.25,-0.20,0.02,2.74288556192542
-0.25,-0.15,0.02,2.5448197948734
-0.25,-0.10,0.02,1.37217874653455
-0.25,-0.05,0.02,0.512554413509713
-0.25,0.00,0.02,0.729906016262226
-0.25,0.05,0.02,0.725376717497658
-0.25,0.10,0.02,1.62512428078997
-0.25,0.15,0.02,2.43111426928756
-0.25,0.20,0.02,2.5837123793178
-0.25,0.25,0.02,2.39512058193947
-0.25,0.30,0.02,1.22850959888403
-0.20,-0.30,0.02,1.2162490528598
-0.20,-0.25,0.02,2.23001281703989
-0.20,-0.20,0.02,2.44439776002538
-0.20,-0.15,0.02,2.39139365784954
-0.20,-0.10,0.02,1.61975573008056
-0.20,-0.05,0.02,0.919921623969262
-0.20,0.00,0.02,1.115540692281
-0.20,0.05,0.02,1.18545300249069
-0.20,0.10,0.02,1.68309398947887
-0.20,0.15,0.02,2.24732474235105
-0.20,0.20,0.02,2.33128514447112
-0.20,0.25,0.02,2.11134761706389
-0.20,0.30,0.02,1.24995770223072
-0.15,-0.30,0.02,1.34948070560916
-0.15,-0.25,0.02,1.97498352321712
-0.15,-0.20,0.02,2.23276477465346
-0.15,-0.15,0.02,2.13775359971561
-0.15,-0.10,0.02,1.58192047747114
-0.15,-0.05,0.02,0.944924733936245
-0.15,0.00,0.02,1.08038004807692
-0.15,0.05,0.02,0.957828224235579
-0.15,0.10,0.02,1.53297215644264
-0.15,0.15,0.02,2.07583703617466
-0.15,0.20,0.02,2.13860736421973
-0.15,0.25,0.02,1.88062333625503
-0.15,0.30,0.02,1.32982331221048
-0.10,-0.25,0.02,1.78639408617855
-0.10,-0.20,0.02,2.01435168372325
-0.10,-0.15,0.02,1.85481801217141
-0.10,0.15,0.02,1.93625544307223
-0.10,0.20,0.02,2.01104902910777
-0.10,0.25,0.02,1.68357695850103
-0.05,-0.25,0.02,1.39790008740031
-0.05,-0.20,0.02,1.85341539415296
-0.05,-0.15,0.02,1.68669571687244
-0.05,0.15,0.02,1.49345465565219
-0.05,0.20,0.02,1.59997710211292
-0.05,0.25,0.02,1.30567296601107
0.00,-0.25,0.02,1.24455731553223
0.00,-0.20,0.02,1.51874180326464
0.00,-0.15,0.02,1.52198248016157
0.00,0.15,0.02,1.47163144256371
0.00,0.20,0.02,1.43509731180908
0.00,0.25,0.02,1.1955459153906
0.05,-0.25,0.02,1.19395648460378
0.05,-0.20,0.02,1.3567979579553
0.05,-0.15,0.02,1.36981113410066
0.05,0.15,0.02,1.29242030661227
0.05,0.20,0.02,1.52201362017038
0.05,0.25,0.02,1.28836787771806
0.10,-0.25,0.02,1.39418777268036
0.10,-0.20,0.02,1.47719605245453
0.10,-0.15,0.02,1.37956255473751
0.10,0.15,0.02,1.14811197865207
0.10,0.20,0.02,1.30790382541099
0.10,0.25,0.02,1.38986731944502
0.15,-0.30,0.02,1.22901638535764
0.15,-0.25,0.02,1.53134696515949
0.15,-0.20,0.02,1.53771509186735
0.15,-0.15,0.02,1.35211423689479
0.15,-0.10,0.02,0.975830379350305
0.15,-0.05,0.02,0.849147317793004
0.15,0.00,0.02,0.830279834294451
0.15,0.05,0.02,0.753376793384488
0.15,0.10,0.02,1.07635479931651
0.15,0.15,0.02,1.27048280788643
0.15,0.20,0.02,1.47839518568191
0.15,0.25,0.02,1.43122867078892
0.15,0.30,0.02,1.15788616586665
0.20,-0.30,0.02,1.30287509908923
0.20,-0.25,0.02,1.53421035564141
0.20,-0.20,0.02,1.51198277227405
0.20,-0.15,0.02,1.54900571833983
0.20,-0.10,0.02,1.17890158523253
0.20,-0.05,0.02,1.28450252970441
0.20,0.00,0.02,0.949712614571732
0.20,0.05,0.02,0.931347670399775
0.20,0.10,0.02,1.24021852242437
0.20,0.15,0.02,1.45972734054441
0.20,0.20,0.02,1.53448951173367
0.20,0.25,0.02,1.6754721221824
0.20,0.30,0.02,1.25238036715641
0.25,-0.30,0.02,1.17338249239988
0.25,-0.25,0.02,1.60342046571268
0.25,-0.20,0.02,1.71515231572081
0.25,-0.15,0.02,1.71127746105642
0.25,-0.10,0.02,1.64787818048262
0.25,-0.05,0.02,1.18144876401192
0.25,0.00,0.02,0.860310651412999
0.25,0.05,0.02,1.05486731051508
0.25,0.10,0.02,1.53011087032503
0.25,0.15,0.02,1.74997933441296
0.25,0.20,0.02,1.69004378765706
0.25,0.25,0.02,1.63194898450129
0.25,0.30,0.02,1.22209898575349
0.30,-0.25,0.02,1.73734989273395
0.30,-0.20,0.02,1.87172739813717
0.30,-0.15,0.02,2.11416514694754
0.30,0.15,0.02,2.28886679702635
0.30,0.20,0.02,1.98654692567568
0.30,0.25,0.02,1.8305874830788
